,tf_idf_weights
00,1.0
skilling,1.0
notes,1.0
charset,1.0
com,1.0
mime,1.0
message,1.0
content,1.0
encoding,1.0
subject,1.0
jskillin,1.0
date,1.0
nsf,1.0
javamail,1.0
text,1.0
thyme,1.0
to,1.0
from,1.0
transfer,1.0
folders,1.0
folder,1.0
type,1.0
filename,1.0
version,1.0
evans,1.0
id,1.0
cc,1.0
enron,1.0
plain,1.0
origin,1.0
sent,1.0
bcc,1.0
7bit,1.0405211974056394
us,1.0749414212921187
you,1.0827539610289123
jeff,1.106564609722631
the,1.1146291695593613
ascii,1.1186859702549756
sherri,1.1902955026330988
and,1.2349457763708378
sera,1.258041491165487
for,1.258041491165487
on,1.2627253404779133
of,1.2864794264860204
re,1.2912987129219693
in,1.3257001396393018
is,1.3929088893327517
your,1.4882190691370767
be,1.5180720322867578
have,1.5364211709549545
please,1.5426131412028754
this,1.5488436909535115
with,1.5488436909535115
at,1.555113303967107
that,1.5614224731603716
if,1.5741614989378014
me,1.6200712002418793
2000,1.6404108844790022
2001,1.6681904485860777
0700,1.6681904485860777
pdt,1.6681904485860777
we,1.67525761580917
jeffrey_skilling_dec2000,1.6823750835780342
will,1.6823750835780342
jeff_skilling_oct2001,1.696763821030134
0800,1.7113626204512864
pst,1.7113626204512864
am,1.7113626204512864
thanks,1.7113626204512864
it,1.7336683779655848
know,1.748820182986187
are,1.7719872422677212
pm,1.8037359405823017
would,1.8037359405823017
713,1.811833150814921
as,1.8878190577928429
or,1.905518634892244
time,1.9235371403949222
regards,1.9418862790631188
can,1.9605784120752714
let,2.008896989346079
any,2.018847320199247
by,2.0390500275167662
03,2.0493065276839557
853,2.0493065276839557
not,2.0596693147195024
our,2.0701406145867978
an,2.0701406145867978
he,2.0701406145867978
so,2.0807227239173347
may,2.0807227239173347
corp,2.102228929138298
has,2.1131579996704883
fax,2.1242078358570735
srs,2.135381136455199
mail,2.146680691709132
05,2.1696702099338308
10,2.181366249697022
thank,2.1932007073440247
assistant,2.2051768983907407
01,2.217298258923085
5984,2.2295683515149
up,2.2295683515149
12,2.241990871513457
information,2.267308679497747
was,2.267308679497747
646,2.2802120843336544
there,2.2932841659010075
call,2.2932841659010075
all,2.306529392651028
like,2.306529392651028
04,2.306529392651028
about,2.3335580650389476
mr,2.3335580650389476
8381,2.3335580650389476
but,2.347351387171283
my,2.347351387171283
forward,2.361337629146023
ll,2.361337629146023
09,2.3755222641379796
his,2.389911001590079
15,2.389911001590079
wed,2.389911001590079
do,2.389911001590079
02,2.4045098010112316
houston,2.4193248867963724
out,2.4343627641609134
mon,2.4343627641609134
meeting,2.4651344228276666
look,2.4651344228276666
20,2.480882779795806
07,2.513143642014027
which,2.513143642014027
been,2.513143642014027
08,2.5296729439652377
see,2.546480062281619
joannie,2.546480062281619
williamson,2.546480062281619
get,2.546480062281619
11,2.546480062281619
one,2.563574495640919
business,2.6166843209548674
need,2.6166843209548674
06,2.6166843209548674
dear,2.6166843209548674
him,2.635033459623064
tue,2.635033459623064
john,2.635033459623064
next,2.672773787605911
very,2.692191873463013
apr,2.692191873463013
30,2.692191873463013
new,2.711994500759192
work,2.711994500759192
just,2.711994500759192
what,2.711994500759192
company,2.7321972080767116
mar,2.7321972080767116
fri,2.7321972080767116
make,2.752816495279448
mark,2.752816495279448
some,2.77386990447728
other,2.77386990447728
thu,2.77386990447728
brown,2.7953761096982435
asked,2.7953761096982435
also,2.7953761096982435
19,2.817355016417019
david,2.817355016417019
hou,2.817355016417019
send,2.817355016417019
ect,2.839827872269077
well,2.839827872269077
28,2.839827872269077
should,2.839827872269077
when,2.839827872269077
more,2.839827872269077
last,2.839827872269077
how,2.862817390493776
opportunity,2.862817390493776
today,2.862817390493776
23,2.862817390493776
monday,2.88634788790397
they,2.88634788790397
these,2.88634788790397
meet,2.88634788790397
contact,2.88634788790397
could,2.88634788790397
no,2.88634788790397
email,2.88634788790397
14,2.9104454394830306
16,2.9104454394830306
note,2.9351380520734023
group,2.9351380520734023
first,2.9351380520734023
who,2.9604558600576922
however,2.9604558600576922
www,2.9604558600576922
hope,2.986431346460953
schedule,2.986431346460953
18,2.986431346460953
questions,2.986431346460953
them,2.986431346460953
over,3.013099593543114
office,3.013099593543114
don,3.013099593543114
great,3.013099593543114
24,3.0404985677312286
sure,3.0404985677312286
back,3.0404985677312286
services,3.0404985677312286
good,3.0404985677312286
find,3.068669444697925
take,3.068669444697925
phone,3.068669444697925
year,3.068669444697925
their,3.097656981571177
best,3.097656981571177
team,3.097656981571177
25,3.097656981571177
13,3.097656981571177
jeffrey,3.1275099447208583
below,3.1275099447208583
event,3.1275099447208583
wanted,3.1275099447208583
want,3.1275099447208583
had,3.1275099447208583
greg,3.1275099447208583
give,3.1275099447208583
way,3.158281603387612
interested,3.158281603387612
ansi_x3,3.158281603387612
attached,3.158281603387612
michael,3.158281603387612
http,3.158281603387612
1968,3.158281603387612
attend,3.1900303017021923
hi,3.1900303017021923
april,3.1900303017021923
again,3.1900303017021923
future,3.1900303017021923
two,3.1900303017021923
27,3.1900303017021923
interest,3.222820124525183
few,3.222820124525183
most,3.222820124525183
really,3.222820124525183
now,3.222820124525183
executive,3.222820124525183
ees,3.222820124525183
lunch,3.222820124525183
kevin,3.222820124525183
energy,3.2567216762008644
29,3.2567216762008644
ve,3.2567216762008644
behalf,3.2567216762008644
17,3.2567216762008644
think,3.2567216762008644
following,3.2567216762008644
week,3.2567216762008644
help,3.2567216762008644
dec,3.2567216762008644
thursday,3.2567216762008644
discussion,3.2567216762008644
into,3.2567216762008644
net,3.2918129960121347
than,3.2918129960121347
name,3.2918129960121347
dinner,3.2918129960121347
communications,3.2918129960121347
happy,3.2918129960121347
then,3.2918129960121347
able,3.2918129960121347
speak,3.2918129960121347
long,3.2918129960121347
feb,3.2918129960121347
james,3.2918129960121347
org,3.2918129960121347
free,3.2918129960121347
forwarded,3.2918129960121347
22,3.2918129960121347
morning,3.3281806401830094
place,3.3281806401830094
join,3.3281806401830094
current,3.3281806401830094
regarding,3.3281806401830094
together,3.3281806401830094
day,3.3281806401830094
friday,3.3281806401830094
steve,3.3281806401830094
address,3.3281806401830094
number,3.3281806401830094
president,3.3281806401830094
ceo,3.3281806401830094
enron_development,3.3659209681658564
lay,3.3659209681658564
night,3.3659209681658564
much,3.3659209681658564
katherine,3.3659209681658564
mike,3.3659209681658564
conference,3.3659209681658564
many,3.3659209681658564
available,3.3659209681658564
through,3.405141681319138
26,3.405141681319138
discuss,3.405141681319138
invitation,3.405141681319138
only,3.405141681319138
tomorrow,3.405141681319138
steven,3.405141681319138
rick,3.405141681319138
minutes,3.405141681319138
details,3.405141681319138
received,3.405141681319138
original,3.445963675839393
additional,3.445963675839393
list,3.445963675839393
march,3.445963675839393
follow,3.445963675839393
years,3.445963675839393
21,3.445963675839393
here,3.445963675839393
bill,3.445963675839393
each,3.445963675839393
before,3.445963675839393
check,3.445963675839393
visit,3.445963675839393
further,3.445963675839393
after,3.488523290258189
unable,3.488523290258189
jan,3.488523290258189
between,3.488523290258189
kenneth,3.488523290258189
scheduled,3.488523290258189
go,3.488523290258189
soon,3.488523290258189
provide,3.488523290258189
since,3.488523290258189
being,3.488523290258189
working,3.488523290258189
right,3.488523290258189
looking,3.488523290258189
response,3.532975052829023
weekend,3.532975052829023
come,3.532975052829023
during,3.532975052829023
person,3.532975052829023
chairman,3.532975052829023
technology,3.532975052829023
45,3.532975052829023
down,3.532975052829023
aol,3.532975052829023
sherriff,3.532975052829023
going,3.532975052829023
dates,3.532975052829023
advise,3.532975052829023
reinartz,3.532975052829023
kean,3.532975052829023
assistance,3.532975052829023
possible,3.5794950684639155
program,3.5794950684639155
street,3.5794950684639155
busy,3.5794950684639155
weeks,3.5794950684639155
plan,3.5794950684639155
hearing,3.5794950684639155
touch,3.5794950684639155
where,3.5794950684639155
unfortunately,3.5794950684639155
na,3.5794950684639155
currently,3.5794950684639155
until,3.5794950684639155
buy,3.5794950684639155
partners,3.5794950684639155
paul,3.5794950684639155
people,3.5794950684639155
early,3.5794950684639155
return,3.6282852326333477
already,3.6282852326333477
reply,3.6282852326333477
does,3.6282852326333477
global,3.6282852326333477
director,3.6282852326333477
did,3.6282852326333477
another,3.6282852326333477
jskilli,3.6282852326333477
keep,3.6282852326333477
letter,3.6282852326333477
55,3.6282852326333477
making,3.6282852326333477
companies,3.6282852326333477
might,3.6282852326333477
mind,3.6282852326333477
35,3.6282852326333477
ms150,3.6282852326333477
network,3.6282852326333477
31,3.6282852326333477
process,3.6282852326333477
capital,3.6282852326333477
rebecca,3.6282852326333477
end,3.6282852326333477
50,3.6282852326333477
those,3.6282852326333477
use,3.6282852326333477
held,3.6795785270208983
review,3.6795785270208983
confidential,3.6795785270208983
sep,3.6795785270208983
whalley,3.6795785270208983
open,3.6795785270208983
wednesday,3.6795785270208983
smith,3.6795785270208983
appreciate,3.6795785270208983
because,3.6795785270208983
52,3.6795785270208983
little,3.6795785270208983
via,3.6795785270208983
fitzgerald,3.6795785270208983
tuesday,3.6795785270208983
better,3.6795785270208983
hotmail,3.6795785270208983
baxter,3.733645748291174
center,3.733645748291174
reach,3.733645748291174
cindy,3.733645748291174
cliff,3.733645748291174
put,3.733645748291174
hear,3.733645748291174
hesitate,3.733645748291174
several,3.733645748291174
piper,3.733645748291174
copy,3.733645748291174
short,3.733645748291174
too,3.733645748291174
given,3.733645748291174
traveling,3.733645748291174
karen,3.733645748291174
32,3.733645748291174
34,3.733645748291174
hello,3.733645748291174
ken,3.733645748291174
stan,3.733645748291174
44,3.733645748291174
management,3.733645748291174
mailto,3.733645748291174
still,3.733645748291174
lon,3.733645748291174
february,3.733645748291174
respond,3.733645748291174
said,3.733645748291174
ypo,3.733645748291174
000,3.733645748291174
private,3.7908041621311224
probably,3.7908041621311224
while,3.7908041621311224
try,3.7908041621311224
trading,3.7908041621311224
jim,3.7908041621311224
evening,3.7908041621311224
co,3.7908041621311224
tx,3.7908041621311224
corporate,3.7908041621311224
offer,3.7908041621311224
made,3.7908041621311224
bibi,3.7908041621311224
were,3.7908041621311224
appropriate,3.7908041621311224
philippe,3.7908041621311224
building,3.7908041621311224
feel,3.7908041621311224
value,3.7908041621311224
december,3.7908041621311224
europe,3.7908041621311224
louise,3.8514287839475574
market,3.8514287839475574
recently,3.8514287839475574
joseph,3.8514287839475574
opportunities,3.8514287839475574
organization,3.8514287839475574
got,3.8514287839475574
sincerely,3.8514287839475574
seeing,3.8514287839475574
topics,3.8514287839475574
its,3.8514287839475574
won,3.8514287839475574
inc,3.8514287839475574
investment,3.8514287839475574
breakfast,3.8514287839475574
direct,3.8514287839475574
58,3.8514287839475574
ride,3.8514287839475574
believe,3.8514287839475574
distribution,3.8514287839475574
calendar,3.8514287839475574
writing,3.8514287839475574
minute,3.8514287839475574
345,3.8514287839475574
51,3.8514287839475574
doc,3.8514287839475574
kitchen,3.8514287839475574
everyone,3.8514287839475574
senior,3.8514287839475574
doing,3.8514287839475574
49,3.9159673050851285
afternoon,3.9159673050851285
set,3.9159673050851285
lot,3.9159673050851285
board,3.9159673050851285
financial,3.9159673050851285
consideration,3.9159673050851285
such,3.9159673050851285
personal,3.9159673050851285
participate,3.9159673050851285
gas,3.9159673050851285
joe,3.9159673050851285
sutton,3.9159673050851285
taking,3.9159673050851285
associates,3.9159673050851285
robert,3.9159673050851285
56,3.9159673050851285
off,3.9159673050851285
38,3.9159673050851285
october,3.9159673050851285
yet,3.9159673050851285
area,3.9159673050851285
house,3.9159673050851285
hours,3.9159673050851285
met,3.9159673050851285
brief,3.9159673050851285
simply,3.9159673050851285
horton,3.9159673050851285
mentioned,3.9159673050851285
guys,3.9159673050851285
hannon,3.9159673050851285
works,3.9159673050851285
goal,3.9159673050851285
though,3.9159673050851285
high,3.9159673050851285
mcdonald,3.9159673050851285
heard,3.9849601765720797
specific,3.9849601765720797
agenda,3.9849601765720797
something,3.9849601765720797
sorry,3.9849601765720797
experience,3.9849601765720797
broadband,3.9849601765720797
wish,3.9849601765720797
per,3.9849601765720797
53,3.9849601765720797
request,3.9849601765720797
university,3.9849601765720797
copying,3.9849601765720797
suite,3.9849601765720797
richard,3.9849601765720797
development,3.9849601765720797
floor,3.9849601765720797
days,3.9849601765720797
january,3.9849601765720797
41,3.9849601765720797
based,3.9849601765720797
around,3.9849601765720797
jay,3.9849601765720797
scott,3.9849601765720797
important,3.9849601765720797
part,3.9849601765720797
update,3.9849601765720797
scrimshaw,3.9849601765720797
48,3.9849601765720797
manager,3.9849601765720797
etc,3.9849601765720797
family,3.9849601765720797
introduce,3.9849601765720797
recipient,3.9849601765720797
problem,3.9849601765720797
matthew,3.9849601765720797
talk,3.9849601765720797
54,4.059068148725801
ms,4.059068148725801
same,4.059068148725801
limited,4.059068148725801
lou,4.059068148725801
ben,4.059068148725801
online,4.059068148725801
country,4.059068148725801
anyone,4.059068148725801
both,4.059068148725801
events,4.059068148725801
venture,4.059068148725801
london,4.059068148725801
39,4.059068148725801
rod,4.059068148725801
love,4.059068148725801
36,4.059068148725801
done,4.059068148725801
43,4.059068148725801
peter,4.059068148725801
enronxgate,4.059068148725801
saturday,4.059068148725801
plans,4.059068148725801
ago,4.059068148725801
within,4.059068148725801
quoted,4.059068148725801
100,4.059068148725801
receive,4.059068148725801
game,4.059068148725801
hour,4.059068148725801
immediately,4.059068148725801
individual,4.059068148725801
purpose,4.059068148725801
intended,4.059068148725801
invite,4.059068148725801
getting,4.059068148725801
quick,4.059068148725801
janet,4.059068148725801
kristin,4.059068148725801
cell,4.059068148725801
helping,4.059068148725801
relationship,4.059068148725801
potential,4.059068148725801
uk,4.059068148725801
59,4.059068148725801
attendance,4.059068148725801
harris,4.059068148725801
having,4.059068148725801
members,4.139110856399338
either,4.139110856399338
else,4.139110856399338
reached,4.139110856399338
glisan,4.139110856399338
nice,4.139110856399338
wade,4.139110856399338
42,4.139110856399338
40,4.139110856399338
second,4.139110856399338
7774,4.139110856399338
approach,4.139110856399338
alder,4.139110856399338
interview,4.139110856399338
amelia,4.139110856399338
chief,4.139110856399338
wants,4.139110856399338
nov,4.139110856399338
above,4.139110856399338
texas,4.139110856399338
1400,4.139110856399338
37,4.139110856399338
world,4.139110856399338
groups,4.139110856399338
hughes,4.139110856399338
due,4.139110856399338
tell,4.139110856399338
report,4.139110856399338
north,4.139110856399338
analyst,4.139110856399338
hayslett,4.139110856399338
running,4.139110856399338
chance,4.139110856399338
industry,4.139110856399338
raise,4.139110856399338
others,4.139110856399338
understand,4.139110856399338
follows,4.139110856399338
printable,4.139110856399338
cox,4.139110856399338
past,4.139110856399338
couple,4.139110856399338
june,4.139110856399338
617,4.139110856399338
larry,4.139110856399338
job,4.139110856399338
perspective,4.139110856399338
consider,4.139110856399338
dad,4.139110856399338
ps,4.139110856399338
general,4.139110856399338
dan,4.139110856399338
strategic,4.139110856399338
cline,4.139110856399338
news,4.139110856399338
george,4.139110856399338
markskilling,4.139110856399338
panel,4.139110856399338
involved,4.139110856399338
talking,4.139110856399338
presentation,4.139110856399338
issues,4.139110856399338
firm,4.139110856399338
half,4.226122233388968
bit,4.226122233388968
thought,4.226122233388968
guests,4.226122233388968
location,4.226122233388968
success,4.226122233388968
kskilling,4.226122233388968
kpcb,4.226122233388968
muller,4.226122233388968
someone,4.226122233388968
strictly,4.226122233388968
far,4.226122233388968
helpful,4.226122233388968
fgt,4.226122233388968
77002,4.226122233388968
ever,4.226122233388968
mccarty,4.226122233388968
matter,4.226122233388968
benefit,4.226122233388968
mcconnell,4.226122233388968
international,4.226122233388968
error,4.226122233388968
meantime,4.226122233388968
employee,4.226122233388968
state,4.226122233388968
top,4.226122233388968
form,4.226122233388968
stephanie,4.226122233388968
include,4.226122233388968
even,4.226122233388968
table,4.226122233388968
frevert,4.226122233388968
jul,4.226122233388968
telephone,4.226122233388968
idea,4.226122233388968
enough,4.226122233388968
term,4.226122233388968
told,4.226122233388968
ehshouston,4.226122233388968
vice,4.226122233388968
anything,4.226122233388968
notice,4.226122233388968
card,4.226122233388968
club,4.226122233388968
november,4.226122233388968
pick,4.226122233388968
regard,4.226122233388968
power,4.226122233388968
decline,4.226122233388968
receipt,4.226122233388968
definitely,4.226122233388968
party,4.226122233388968
associate,4.226122233388968
pass,4.226122233388968
challenges,4.226122233388968
change,4.226122233388968
quite,4.226122233388968
once,4.226122233388968
aug,4.226122233388968
ok,4.226122233388968
offices,4.226122233388968
write,4.226122233388968
project,4.226122233388968
september,4.226122233388968
didn,4.226122233388968
planning,4.226122233388968
rice,4.226122233388968
complete,4.226122233388968
palmer,4.226122233388968
outside,4.321432413193293
sender,4.321432413193293
281,4.321432413193293
fred,4.321432413193293
bring,4.321432413193293
begin,4.321432413193293
allow,4.321432413193293
46,4.321432413193293
found,4.321432413193293
olson,4.321432413193293
raising,4.321432413193293
kai,4.321432413193293
internet,4.321432413193293
contain,4.321432413193293
privileged,4.321432413193293
resume,4.321432413193293
start,4.321432413193293
trip,4.321432413193293
tour,4.321432413193293
systems,4.321432413193293
