,hash_weights
to,1.221003859224751
john,1.3495314341641116
cc,1.370584843361944
subject,1.370584843361944
the,1.3957208166334862
on,1.4441474105389607
you,1.491030996437811
arnold,1.54654370636807
enron,1.5831462853456169
and,1.6279968515109686
for,1.6701576623352465
of,1.736931534874637
is,1.7472144018302211
pm,1.754996542272276
in,1.773393907411992
from,1.8766934772497956
ect,1.8825931993769842
hou,1.8915085630349364
am,1.9005041259435145
it,1.9435877120798262
that,1.9594359043198497
this,1.9985288301111273
are,2.0051955214693162
be,2.0051955214693162
if,2.018663738520183
have,2.0220593275213212
2000,2.0254664858429354
2001,2.0392124067475708
com,2.0531499145913523
your,2.070849491690753
with,2.0888679971934314
we,2.114652114349146
at,2.1334850626822384
me,2.1683048278414665
will,2.1922103486950206
not,2.220842161369348
or,2.2503179795023014
please,2.254600641294302
re,2.321144032070914
by,2.3443469291505776
10,2.363304842895192
as,2.368101015158685
02,2.368101015158685
any,2.407321728311966
can,2.417372064165468
do,2.4481437228322216
thanks,2.5016324077832075
but,2.507142063594177
get,2.5126822439697927
would,2.5182532890192477
up,2.552347500362224
09,2.552347500362224
all,2.55814461804655
so,2.569840657809741
08,2.599693620959422
my,2.6180427596276186
what,2.630465279626176
03,2.6367348926397716
gas,2.6493932895116945
11,2.655783087610466
01,2.6622139779407563
05,2.6752011734675674
04,2.688359258045079
know,2.7289053524394284
an,2.7289053524394284
12,2.7289053524394284
out,2.7427944646000957
about,2.7498120372587422
time,2.7498120372587422
was,2.7498120372587422
may,2.7639966722506983
one,2.785658169031878
just,2.7929842091239507
they,2.7929842091239507
now,2.8773253575577016
corp,2.885357529254966
like,2.893454739487585
07,2.893454739487585
more,2.934954470394338
06,2.9694406464655074
think,2.9782512761476623
today,2.987140223564908
some,2.9961088935476687
has,3.0051587290675865
there,3.023507867735783
going,3.023507867735783
see,3.0422000007479357
when,3.0422000007479357
how,3.0516787447024796
message,3.0709101066303672
last,3.080666281575732
00,3.080666281575732
call,3.080666281575732
30,3.1004689088719113
should,3.1004689088719113
good,3.110519244725413
jarnold,3.120671616189431
week,3.1412909033921665
new,3.1623443125899993
don,3.1623443125899993
our,3.1623443125899993
here,3.194779588343153
let,3.2058294245297376
us,3.2058294245297376
jennifer,3.217002725127863
than,3.217002725127863
market,3.217002725127863
been,3.217002725127863
want,3.2512917986064953
no,3.2512917986064953
need,3.2512917986064953
next,3.2629878383696864
trading,3.2629878383696864
fax,3.2748222960166893
email,3.2748222960166893
15,3.2748222960166893
20,3.286798487063405
its,3.286798487063405
after,3.2989198475957497
price,3.2989198475957497
work,3.2989198475957497
sent,3.311189940187564
which,3.3236124601861214
could,3.3236124601861214
forwarded,3.3361912423929816
also,3.361833673006319
had,3.3749057545736716
ll,3.3881509813236925
day,3.3881509813236925
other,3.3881509813236925
back,3.3881509813236925
two,3.401574001655833
25,3.401574001655833
trade,3.4151796537116117
much,3.4151796537116117
into,3.4151796537116117
well,3.4289729758439473
very,3.4289729758439473
50,3.4289729758439473
year,3.4289729758439473
them,3.442959217818687
who,3.442959217818687
only,3.442959217818687
take,3.442959217818687
go,3.442959217818687
he,3.4571438528106437
their,3.4571438528106437
still,3.4571438528106437
buy,3.4715325902627434
were,3.4715325902627434
long,3.4715325902627434
over,3.4715325902627434
original,3.4715325902627434
then,3.486131389683896
information,3.500946475469037
enronxgate,3.500946475469037
13,3.500946475469037
26,3.5159843528335775
make,3.5159843528335775
little,3.5159843528335775
23,3.531251824964366
down,3.531251824964366
way,3.56250436846847
off,3.5785047098149114
www,3.5785047098149114
use,3.5785047098149114
term,3.5785047098149114
allen,3.5785047098149114
give,3.5785047098149114
where,3.5947652306866917
28,3.5947652306866917
sell,3.6112945326379022
these,3.6112945326379022
such,3.6281016509542834
thank,3.6281016509542834
people,3.6281016509542834
http,3.6281016509542834
friday,3.6451960843135836
again,3.662587827025453
free,3.6802874041248534
come,3.6802874041248534
31,3.6802874041248534
27,3.6802874041248534
does,3.6802874041248534
22,3.6802874041248534
offer,3.6802874041248534
right,3.698305909627532
end,3.698305909627532
most,3.698305909627532
available,3.698305909627532
29,3.698305909627532
however,3.698305909627532
